time,value
2023-11-11T01:33:57.69428788Z,80
2023-11-11T01:34:33.630069141Z,81
2023-11-11T01:34:35.551367542Z,82
2023-11-11T01:34:37.565979003Z,83
2023-11-11T01:34:39.566039632Z,84
2023-11-11T01:34:41.838108019Z,85
2023-11-11T01:34:43.598866427Z,86
2023-11-11T01:34:45.550088815Z,87
2023-11-11T01:34:52.365974148Z,88
2023-11-11T01:34:58.71805173Z,89
2023-11-11T01:35:01.902068987Z,88
2023-11-11T01:35:09.598052197Z,86
2023-11-11T01:35:19.598139277Z,85
2023-11-11T01:35:27.542225003Z,84
2023-11-11T01:35:33.630187678Z,83
2023-11-11T01:35:44.798309444Z,82
2023-11-11T01:35:51.790599381Z,81
2023-11-11T01:35:59.646122076Z,80
2023-11-11T01:36:09.694124291Z,79
2023-11-11T02:06:10.624331102Z,79
2023-11-11T02:07:46.074584708Z,80
2023-11-11T02:09:57.48986738Z,79
2023-11-11T02:19:56.629603097Z,79
2023-11-11T02:20:00.087749501Z,80
2023-11-11T02:20:20.812014866Z,79
2023-11-11T02:21:46.819670424Z,79
2023-11-11T02:32:13.294878666Z,80
2023-11-11T02:33:16.856598877Z,79
2023-11-11T02:33:41.735096992Z,80
2023-11-11T02:33:45.656861867Z,79
2023-11-11T02:36:24.407654271Z,80
2023-11-11T02:36:38.317170969Z,81
2023-11-11T02:36:43.793773827Z,80
2023-11-11T02:38:29.975310213Z,79
2023-11-11T02:40:49.832489284Z,80
2023-11-11T02:41:52.219796684Z,81
2023-11-11T02:42:15.5760632Z,82
2023-11-11T02:43:03.197317835Z,83
2023-11-11T02:43:05.190111041Z,82
2023-11-11T02:44:16.618124865Z,81
